PID,BIAS,REPS,Elapsed,MS
3,subordinate,30,5.096944444,1737
3,subordinate,30,6.152222222,1921
3,subordinate,30,5.295277778,2610
3,subordinate,30,3.186111111,3292
3,unrelated,0,,1108
3,unrelated,0,,1170
3,unrelated,0,,1722
3,unrelated,0,,1818
3,unrelated,0,,1843
3,unrelated,0,,2179
3,unrelated,0,,2282
3,unrelated,0,,2419
3,unrelated,3,5.167777778,900
3,unrelated,3,3.300833333,1185
3,unrelated,3,3.389166667,1771
3,unrelated,3,5.331944444,2066
3,unrelated,3,1.6925,2171
3,unrelated,3,4.189722222,3788
3,unrelated,3,3.805833333,4196
3,unrelated,3,4.074444444,4323
3,unrelated,30,2.618888889,969
3,unrelated,30,2.571111111,1435
3,unrelated,30,2.799166667,1642
3,unrelated,30,4.354444444,1939
3,unrelated,30,1.491944444,2284
3,unrelated,30,2.119722222,2444
3,unrelated,30,2.398055556,2474
3,unrelated,30,4.428333333,2516
4,dominant,0,,793
4,dominant,0,,917
4,dominant,0,,939
4,dominant,0,,986
4,dominant,0,,1059
4,dominant,0,,1091
4,dominant,0,,1187
4,dominant,0,,1396
4,dominant,3,5.695277778,642
4,dominant,3,2.47,756
4,dominant,3,5.177222222,787
4,dominant,3,5.255555556,842
4,dominant,3,2.321111111,868
4,dominant,3,1.495,957
4,dominant,3,4.511944444,1337
4,dominant,3,1.819444444,1348
4,dominant,30,5.185555556,739
4,dominant,30,1.608888889,756
4,dominant,30,2.419722222,812
4,dominant,30,4.576944444,964
4,dominant,30,4.058055556,1124
4,dominant,30,4.207222222,1180
4,dominant,30,1.73,1906
4,dominant,30,2.911111111,3106
4,fillerREL,0,,682
4,fillerREL,0,,817
4,fillerREL,0,,931
4,fillerREL,0,,1139
4,fillerREL,0,,1203
4,fillerREL,0,,1226
4,fillerREL,0,,1402
4,fillerREL,0,,1426
4,fillerREL,0,,1652
4,fillerREL,0,,1789
4,fillerREL,0,,1955
4,fillerREL,0,,2273
4,fillerREL,3,5.696944444,713
4,fillerREL,3,5.765,716
4,fillerREL,3,4.878888889,805
4,fillerREL,3,3.143333333,828
4,fillerREL,3,1.285833333,845
4,fillerREL,3,3.632777778,891
4,fillerREL,3,5.350555556,908
4,fillerREL,3,2.521111111,1083
4,fillerREL,3,3.058055556,1093
4,fillerREL,3,4.870277778,1147
4,fillerREL,3,4.673611111,1220
4,fillerREL,3,4.823055556,1309
4,fillerREL,30,4.8525,698
4,fillerREL,30,2.031944444,811
4,fillerREL,30,5.755277778,923
