PID,BIAS,REPS,T0,T1,T2,T3,T4,T5,T6,T7,T8
31,subordinate,30,1296.5,1066,1563,1131,802,851,1564,1811,1101
31,unrelated,3,2290.583333,1851,1596,2811,1699,2035,1899,1092,2171
31,unrelated,30,2290.583333,1763,1642,4466,3866,1139,1659,1547,2683
32,dominant,3,1311.583333,1066,1635,907,1220,2147,1003,1442,1635
32,dominant,30,1311.583333,834,939,1083,898,965,995,2739,1154
32,subordinate,3,1791.041667,1371,1723,1075,1628,1186,1347,3308,1764
32,subordinate,30,1791.041667,1107,1747,7251,931,1691,1178,938,3322
32,unrelated,3,2044.125,1171,1691,1995,4067,1955,2754,1380,3148
32,unrelated,30,2044.125,1340,1035,1723,1363,2493,2029,1467,2197
33,dominant,3,1035.791667,923,915,1011,875,714,755,772,1306
33,dominant,30,1035.791667,803,723,1513,933,2131,941,1993,939
33,subordinate,3,992.0833333,1108,1046,819,1348,906,939,777,1435
33,subordinate,30,992.0833333,795,916,834,1364,915,859,948,1020
33,unrelated,3,1291.791667,1130,1267,1113,1107,2587,1115,1690,1606
33,unrelated,30,1291.791667,1314,1164,1044,1234,1059,956,939,819
34,dominant,3,1144.625,763,1434,1034,1131,1058,1674,994,2412
34,dominant,30,1144.625,746,1026,939,1338,963,762,834,683
34,subordinate,3,1267.833333,970,1210,1011,874,1067,1530,1250,2107
34,subordinate,30,1267.833333,1082,1769,962,1498,930,1114,1114,1875
34,unrelated,3,1378.791667,1563,922,1594,2499,1386,1354,1290,2114
34,unrelated,30,1378.791667,1499,1202,1210,1042,953,1658,1050,1090
35,dominant,3,1623.375,1130,1315,1690,4186,1459,1123,1283,1818
35,dominant,30,1623.375,2202,1202,1106,1114,1402,1146,1442,1786
35,subordinate,3,2192,914,2962,1418,1042,946,2811,3316,1786
35,subordinate,30,2192,1378,1194,1066,5138,1554,3666,1538,2964
35,unrelated,3,3283.583333,2162,2075,3410,2050,2082,1866,6818,2330
35,unrelated,30,3283.583333,5435,6259,2450,2394,3546,2090,3978,4283
36,dominant,3,1327,1003,1138,1011,938,1018,762,1194,1654
36,dominant,30,1327,1058,1091,2787,1267,1026,722,994,2158
36,subordinate,3,1623.291667,2314,1026,1506,2202,2306,3626,922,2446
36,subordinate,30,1623.291667,1994,1010,1874,1130,1490,1403,1082,1283
36,unrelated,3,1509.583333,1610,1058,2050,1195,1586,1314,1666,2194
36,unrelated,30,1509.583333,1058,1650,1450,1194,915,1218,1346,1314
38,dominant,3,1763.958333,835,1090,2354,1035,1787,1204,1292,1474
38,dominant,30,1763.958333,1082,3940,922,947,4867,3786,826,971
38,subordinate,3,1482.666667,1194,986,1034,1330,851,882,937,2425
38,subordinate,30,1482.666667,1154,1275,1082,2332,2011,882,3026,2227
38,unrelated,3,1742.958333,2964,954,2306,1739,1194,1859,996,922
38,unrelated,30,1742.958333,1306,1451,1458,1794,1082,1073,2169,1010
39,dominant,3,1337.958333,1322,1138,1058,970,1170,1434,1035,698
39,dominant,30,1337.958333,794,1322,970,1042,1346,3076,842,2530
39,subordinate,3,1338.375,954,1290,658,1050,762,1051,1114,1483
39,subordinate,30,1338.375,1611,1243,706,1403,3194,922,1514,2930
39,unrelated,3,1637.25,1139,1619,1354,1666,1363,1066,1066,2226
39,unrelated,30,1637.25,2491,1394,1011,1410,1050,2914,1226,4186
40,dominant,3,983.7083333,762,626,762,730,1051,1091,851,1675
40,dominant,30,983.7083333,1146,666,1058,1370,1010,698,722,1251
40,subordinate,3,1213.208333,1386,1018,915,986,1042,1154,1226,930
40,subordinate,30,1213.208333,738,1290,795,2778,674,1234,1346,1187
40,unrelated,3,1910.5,1922,1618,907,1154,1002,1211,1290,3526
40,unrelated,30,1910.5,1130,1107,1970,4162,1306,2570,1652,1130
41,dominant,3,1176.375,1130,1058,1250,731,1762,2738,1011,1387
41,dominant,30,1176.375,1035,1316,858,1010,874,818,906,1234
41,subordinate,3,1563.208333,1154,1050,1418,794,1514,746,1594,1626
41,subordinate,30,1563.208333,1227,931,850,1714,2266,2522,1370,1634
41,unrelated,3,1625,1882,978,1490,1754,1842,1322,1172,1387
41,unrelated,30,1625,2042,1555,1139,1506,1058,2034,1466,1242
42,dominant,3,1416,1147,1282,1162,1458,763,1737,714,1266
42,dominant,30,1416,602,1170,2778,1531,1346,2514,634,962
42,subordinate,3,1377.916667,986,1130,1554,1234,1394,890,1282,1634
42,subordinate,30,1377.916667,1578,1323,1450,634,906,1010,1922,1811
42,unrelated,3,1529,778,1522,1218,1435,3364,483,1314,1795
42,unrelated,30,1529,1786,1002,1274,1002,1106,898,2178,1722
43,dominant,3,1697.708333,1250,666,1874,962,858,11797,755,2850
43,dominant,30,1697.708333,882,890,691,1147,962,690,1146,3834
43,subordinate,3,1297.208333,706,1002,2010,3642,1634,2148,850,810
43,subordinate,30,1297.208333,1322,786,1002,1754,1074,1131,898,1042
43,unrelated,3,2014.208333,1235,1002,1682,930,2962,1562,1938,986
43,unrelated,30,2014.208333,2083,1307,1034,906,1330,922,1186,6851
44,dominant,3,1170.458333,1330,1130,1002,1243,1131,1018,1283,1290
44,dominant,30,1170.458333,1171,4035,1109,1010,866,1370,1099,1002
44,subordinate,3,1270.166667,1098,1090,1098,1234,1522,1890,722,899
44,subordinate,30,1270.166667,946,1138,986,1074,1770,665,1842,858
44,unrelated,3,1861.75,1346,2090,1130,1321,1378,1770,1283,2075
44,unrelated,30,1861.75,1098,1180,922,8179,1322,1659,2274,2402
45,dominant,3,1768.666667,1227,1315,1706,3762,1297,2106,3467,1460
45,dominant,30,1768.666667,1346,1514,1698,1539,978,1425,2026,1443
45,subordinate,3,1854.875,1795,1538,1124,1442,3538,1738,1162,1033
45,subordinate,30,1854.875,3875,1699,1458,1458,1458,4544,956,2018
45,unrelated,3,2519.958333,1794,1362,1514,3026,4274,5306,3139,1523
45,unrelated,30,2519.958333,3355,2145,1283,1650,4500,2201,2660,1746
46,dominant,3,1121.125,1148,987,1609,1699,938,1082,963,834
46,dominant,30,1121.125,418,1162,859,3194,1178,1042,1138,778
46,subordinate,3,1628.375,1667,1490,4300,1578,1201,970,994,1227
46,subordinate,30,1628.375,1162,523,2875,962,1546,875,1362,4398
46,unrelated,3,2024.75,1003,2643,1234,1138,1956,1171,5531,714
46,unrelated,30,2024.75,1627,9698,3051,2738,2220,929,506,2227
47,dominant,3,2884.708333,730,1497,1002,3533,2739,2587,2442,1082
47,dominant,30,2884.708333,1234,2483,1860,1058,1619,6018,4298,8011
47,subordinate,3,2982.708333,1227,1154,5650,1354,3830,2026,5013,1930
47,subordinate,30,2982.708333,2178,4163,8427,2235,1506,5946,2561,1384
47,unrelated,3,4136.458333,1892,1155,2148,2803,683,3474,9011,3010
47,unrelated,30,4136.458333,3779,3042,1306,9530,3394,7442,1194,6987
48,dominant,3,1517.041667,1651,706,1026,1730,1154,1314,962,738
48,dominant,30,1517.041667,1811,804,1034,1939,826,3410,1554,962
48,subordinate,3,1779.666667,2026,4347,923,1715,2050,1011,882,953
48,subordinate,30,1779.666667,1091,2426,3642,2618,1346,1378,1562,1106
48,unrelated,3,2609.666667,3586,2002,2530,2434,2290,3322,2162,3923
48,unrelated,30,2609.666667,1082,3187,2482,2258,3219,5755,2091,2355
49,dominant,3,979.7916667,875,819,874,579,922,1170,962,1186
49,dominant,30,979.7916667,843,1042,891,1178,1562,1122,706,1821
49,subordinate,3,1035.416667,819,1226,1162,1106,1074,810,882,954
49,subordinate,30,1035.416667,738,947,986,995,1378,810,771,2020
49,unrelated,3,1351.625,1058,866,1106,802,1411,1890,1363,866
49,unrelated,30,1351.625,1459,1514,866,771,1442,2866,1466,1604
50,dominant,3,1429.041667,1250,1786,1035,874,1441,1298,1795,1026
50,dominant,30,1429.041667,962,754,994,938,2290,1954,1378,746
50,subordinate,3,1974.666667,690,723,2267,1370,1130,1755,867,2650
50,subordinate,30,1974.666667,1266,971,1914,3002,4231,2018,2858,3070
50,unrelated,3,1768.791667,978,4260,1474,1083,2610,1978,1506,1555
50,unrelated,30,1768.791667,2282,994,1010,1162,2002,1474,2290,2870
51,dominant,3,1297.875,3122,858,890,1283,850,1348,1209,1611
51,dominant,30,1297.875,906,946,882,602,1394,1210,1018,1738
51,subordinate,3,1472.541667,1530,1162,1274,1610,1274,1218,1170,1186
51,subordinate,30,1472.541667,1435,1779,1515,1466,1170,962,987,1563
51,unrelated,3,2347.041667,3202,1273,2893,1522,3561,1362,2707,1067
51,unrelated,30,2347.041667,1595,2428,2634,2907,3298,1370,2962,1730
52,dominant,3,1174.75,1770,1186,922,1018,1075,1533,1066,1138
52,dominant,30,1174.75,1035,1042,1532,1051,938,1466,1124,922
52,subordinate,3,1243.541667,994,1178,978,915,1346,1402,1298,1778
52,subordinate,30,1243.541667,1003,1539,1354,1354,931,1298,1466,1162
52,unrelated,3,1517.833333,1314,1587,1459,2162,1531,1298,1978,1635
52,unrelated,30,1517.833333,1179,994,1626,2242,1707,2557,1370,1082
53,dominant,3,1063.541667,1250,867,1801,865,948,794,811,1786
53,dominant,30,1063.541667,963,930,1011,1034,954,1115,2586,1010
53,subordinate,3,1227.583333,795,882,1546,850,1563,873,1330,705
53,subordinate,30,1227.583333,698,706,666,1730,1107,1082,1010,1684
53,unrelated,3,2003.208333,3306,1203,1610,2617,1291,2819,2067,1763
53,unrelated,30,2003.208333,810,1994,2506,1618,2034,4051,1722,2666
54,dominant,3,1222.833333,1537,1569,1434,891,1360,812,746,2694
54,dominant,30,1222.833333,1201,1194,947,1283,1171,1546,833,1036
54,subordinate,3,1426.291667,786,1138,1467,1914,947,1667,1147,826
54,subordinate,30,1426.291667,1043,1273,2834,1306,1219,1690,1057,2210
54,unrelated,3,1593.333333,1322,1497,2986,1418,1066,1113,2474,3556
54,unrelated,30,1593.333333,1411,1506,1027,1243,1593,1059,1003,1066
55,dominant,3,1277.375,1283,802,970,1394,1290,1082,946,1379
55,dominant,30,1277.375,1114,2097,986,857,3730,1012,1179,906
55,subordinate,3,1124.875,850,803,1306,818,874,882,1290,1242
55,subordinate,30,1124.875,1250,1050,1066,827,1107,1202,1018,1050
55,unrelated,3,1407.5,1066,1234,1002,970,930,2075,1138,2587
55,unrelated,30,1407.5,1490,1250,1138,1090,1010,962,1018,3657
56,dominant,3,955.2916667,739,770,779,1250,547,802,730,1260
56,dominant,30,955.2916667,562,849,674,962,875,739,1114,1219
56,subordinate,3,885.125,570,890,27,667,1826,345,714,1835
56,subordinate,30,885.125,306,2194,41,1010,747,1050,1250,1177
56,unrelated,3,1014.458333,947,194,939,1411,107,842,755,777
56,unrelated,30,1014.458333,211,1131,1153,3348,746,1066,2467,514
57,dominant,3,1004.666667,1170,842,1266,1514,802,842,802,762
57,dominant,30,1004.666667,786,739,850,1242,916,906,1179,810
57,subordinate,3,1355.083333,4306,930,1283,1274,1530,1147,826,1668
57,subordinate,30,1355.083333,890,1018,1274,1643,1091,755,1083,1803
57,unrelated,3,1357.708333,1330,980,1883,1843,1226,1346,1090,1746
57,unrelated,30,1357.708333,1211,970,1130,986,2354,1281,1554,1202
59,dominant,3,1341.666667,1386,2090,1058,1322,683,1610,1194,1444
59,dominant,30,1341.666667,1627,938,835,3570,891,1066,1322,1026
59,subordinate,3,1681.75,1018,1802,1386,4459,2114,1787,875,1202
