PID,BIAS,REPS,T0,T1,T2,T3,T4,T5,T6,T7,T8,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,PID,MEAN,STDEV
10,unrelated,30,2855.666667,1338,2034,3306,2179,4387,3019,1746,2010,0.607367357,-0.306160366,0.112782284,0.878436093,0.200062003,1.529121444,0.705682443,-0.060573295,0.098335986,57,1327.694444,578.8954403
11,dominant,3,914.25,667,690,618,594,986,986,778,553,-0.04649314,-0.778297624,-0.710222789,-0.923326623,-0.994361234,0.16587075,0.16587075,-0.449762547,-1.115712028,59,1590.625,817.7221952
11,dominant,30,914.25,2563,714,1203,938,1474,650,579,1675,-0.04649314,4.833436666,-0.639188177,0.808142027,0.023801528,1.61024118,-0.828613807,-1.038757866,2.205156049,60,1275.555556,689.7797885
11,subordinate,3,899.125,690,826,778,2010,753,986,781,1010,-0.091259744,-0.710222789,-0.307693325,-0.449762547,3.196680831,-0.523756934,0.16587075,-0.440883221,0.236905362,61,2376.618056,1721.976794
11,subordinate,30,899.125,1146,666,722,794,849,761,1034,961,-0.091259744,0.639434826,-0.7812574,-0.615509974,-0.40240614,-0.239618489,-0.50007873,0.307939973,0.091876364,62,2416.847222,2031.900597
11,unrelated,3,988.3333333,843,962,794,730,914,1250,1236,1482,0.172776893,-0.257377142,0.094836139,-0.40240614,-0.59183177,-0.047233083,0.947251474,0.905814618,1.633919383,63,2123.895833,1402.505231
11,unrelated,30,988.3333333,1266,754,1378,723,722,986,786,842,0.172776893,0.994607882,-0.520797159,1.326102735,-0.612550198,-0.615509974,0.16587075,-0.426084344,-0.260336917,,,
12,dominant,3,1182.708333,1293,826,1210,1850,762,1299,1252,938,-0.100583436,0.121811958,-0.819860715,-0.045551708,1.244963304,-0.948912216,0.133910536,0.03913834,-0.594020588,,,
12,dominant,30,1182.708333,715,786,1002,1204,858,690,1010,2444,-0.100583436,-1.043684412,-0.900517903,-0.464969086,-0.057650286,-0.755334964,-1.094095154,-0.448837649,2.442722549,,,
12,subordinate,3,1190.666667,1082,834,1146,1155,3915,2546,970,785,-0.084536015,-0.30365471,-0.803729277,-0.174603209,-0.156455341,5.408890646,2.648398379,-0.529494837,-0.902534332,,,
12,subordinate,30,1190.666667,642,827,1034,1129,1090,1019,1299,1283,-0.084536015,-1.19088378,-0.817844285,-0.400443336,-0.208882514,-0.287523272,-0.430689781,0.133910536,0.101647661,,,
12,unrelated,3,1293.791667,907,1274,1330,1073,961,1322,1801,1362,0.123408299,-0.656529908,0.083499794,0.196419857,-0.321802577,-0.547642704,0.180288419,1.146158248,0.260945608,,,
12,unrelated,30,1293.791667,2099,1275,1146,1522,971,930,1802,1074,0.123408299,1.747054301,0.085516223,-0.174603209,0.583574361,-0.527478407,-0.610152025,1.148174678,-0.319786148,,,
14,dominant,3,1113.75,875,842,802,954,1033,1954,1362,1610,-0.359277156,-0.692357422,-0.738395741,-0.794199765,-0.582144475,-0.471931528,0.812956117,-0.012943434,0.333041513,,,
14,dominant,30,1113.75,2234,706,867,890,1035,883,898,906,-0.359277156,1.203584283,-0.928129422,-0.703518227,-0.671430913,-0.469141327,-0.681196617,-0.660270108,-0.649109303,,,
14,subordinate,3,1200.541667,1474,850,1041,770,858,1866,1101,793,-0.23819405,0.143307833,-0.727234937,-0.460770724,-0.838842984,-0.716074132,0.690187265,-0.377064688,-0.80675567,,,
14,subordinate,30,1200.541667,1138,1138,2122,689,2779,1052,833,1342,-0.23819405,-0.325445966,-0.325445966,1.047333016,-0.951846132,1.963914105,-0.445424617,-0.750951647,-0.040845445,,,
14,unrelated,3,1823.958333,1611,2793,836,1298,1026,1914,5642,3235,0.63153491,0.334436614,1.983445513,-0.746766345,-0.102229871,-0.481697232,0.757152093,5.9580871,2.600079975,,,
14,unrelated,30,1823.958333,1451,851,1772,1769,859,1634,2057,1799,0.63153491,0.111220519,-0.725839836,0.559047809,0.554862507,-0.714679031,0.366523927,0.956651478,0.596715525,,,
15,dominant,3,1532.375,1146,729,2339,1146,1051,1641,1394,1746,-0.326816119,-0.76976258,-1.247818031,0.597911645,-0.76976258,-0.878672096,-0.202286686,-0.485451425,-0.081913012,,,
